epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.82965,1.97106,3.97468,2.0522,0.00517,0.21556,0.04434,0.01308,1.88399,4.13514,2.28994,1.111e-05,1.111e-05,1.111e-05
2,2.97204,1.95541,4.01217,1.99853,0.00672,0.21556,0.04447,0.01288,1.88697,4.13019,2.28423,3.3066e-05,3.3066e-05,3.3066e-05
3,4.09031,1.90042,3.88692,1.98839,0.00817,0.24815,0.0827,0.02315,1.75097,4.07943,2.13026,5.46701e-05,5.46701e-05,5.46701e-05
4,5.30885,1.72851,3.83562,1.82728,0.01087,0.3037,0.12608,0.04894,1.61421,3.95322,1.91191,7.59222e-05,7.59222e-05,7.59222e-05
5,6.50444,1.61699,3.62987,1.69361,0.0186,0.34133,0.24338,0.12854,1.45016,3.79305,1.6544,9.68223e-05,9.68223e-05,9.68223e-05
6,7.72917,1.58597,3.43992,1.633,0.02617,0.38002,0.28821,0.17636,1.35923,3.69827,1.51216,0.00011737,0.00011737,0.00011737
7,8.90244,1.49669,3.11358,1.57907,0.03379,0.41403,0.3189,0.19452,1.30207,3.62025,1.44466,0.000137567,0.000137567,0.000137567
8,10.1087,1.55946,2.91094,1.61443,0.03756,0.46555,0.31791,0.2071,1.27697,3.54603,1.41068,0.000157411,0.000157411,0.000157411
9,11.2971,1.45662,2.50732,1.57731,0.03704,0.47521,0.29668,0.20012,1.26352,3.50988,1.38708,0.000176903,0.000176903,0.000176903
10,12.4665,1.4577,2.29501,1.54638,0.03768,0.48916,0.28648,0.19501,1.23694,3.46437,1.3606,0.000196044,0.000196044,0.000196044
11,13.6268,1.45241,2.07374,1.52097,0.04,0.50906,0.31218,0.21434,1.21905,3.4264,1.34682,0.000214832,0.000214832,0.000214832
12,14.7855,1.41681,1.96759,1.48768,0.03974,0.51312,0.36935,0.2496,1.18684,3.38285,1.33009,0.000233268,0.000233268,0.000233268
13,15.9561,1.40036,1.99326,1.53709,0.04367,0.55067,0.40748,0.26697,1.19613,3.34998,1.34001,0.000251353,0.000251353,0.000251353
14,17.121,1.37353,1.85701,1.51389,0.04283,0.55067,0.4205,0.2783,1.19094,3.3286,1.35347,0.000269085,0.000269085,0.000269085
15,18.292,1.29777,1.7258,1.48389,0.03975,0.52207,0.41409,0.2793,1.17519,3.31761,1.37439,0.000286466,0.000286466,0.000286466
16,19.4875,1.28175,1.70242,1.46141,0.04213,0.52842,0.42108,0.28834,1.17986,3.27002,1.41078,0.000303494,0.000303494,0.000303494
17,20.6928,1.22471,1.6035,1.44524,0.03818,0.52807,0.43811,0.30202,1.16994,3.18707,1.41858,0.000320171,0.000320171,0.000320171
