epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.49441,2.0343,4.15248,1.95587,0.00208,0.2375,0.07411,0.04537,1.65578,4.02097,1.72752,0.00015554,0.00015554,0.00015554
2,6.28864,1.68966,3.7336,1.53558,0.00486,0.40072,0.20602,0.12866,1.55674,3.69932,1.32601,0.000315811,0.000315811,0.000315811
3,8.91692,1.66241,3.09002,1.49281,0.00598,0.43967,0.28046,0.14693,1.45248,3.6505,1.34206,0.000469482,0.000469482,0.000469482
4,11.5904,1.64681,2.40673,1.50967,0.98004,0.0625,0.3504,0.20764,1.41824,3.23846,1.32117,0.000616554,0.000616554,0.000616554
5,14.1411,1.6427,2.05259,1.49988,0.97726,0.1748,0.49636,0.26259,1.50142,3.0013,1.41373,0.000757027,0.000757027,0.000757027
6,16.6622,1.60962,1.84678,1.49321,0.86864,0.47806,0.77994,0.43311,1.55502,2.40425,1.59658,0.0008909,0.0008909,0.0008909
7,19.2849,1.60416,1.65089,1.47586,0.70471,0.72585,0.84409,0.41994,1.64009,1.97189,1.63759,0.000979013,0.000979013,0.000979013
8,21.9666,1.57641,1.54786,1.47138,0.71193,0.76486,0.87105,0.48434,1.53932,1.75671,1.55709,0.000957015,0.000957015,0.000957015
9,24.5772,1.55483,1.63982,1.50818,0.86768,0.77182,0.88009,0.43771,1.65679,1.63457,1.6479,0.000935018,0.000935018,0.000935018
10,27.155,1.5004,1.45291,1.42525,0.82329,0.84015,0.91854,0.52559,1.44906,1.35852,1.48788,0.00091302,0.00091302,0.00091302
11,29.7277,1.46195,1.36626,1.38647,0.85722,0.83563,0.91653,0.5071,1.50522,1.22791,1.53573,0.000891022,0.000891022,0.000891022
12,32.2659,1.44782,1.31957,1.39864,0.85899,0.87173,0.93042,0.52522,1.47648,1.14844,1.4849,0.000869024,0.000869024,0.000869024
13,34.8111,1.41103,1.30229,1.36093,0.85697,0.83759,0.9226,0.5364,1.44703,1.32316,1.44925,0.000847026,0.000847026,0.000847026
14,37.3138,1.45001,1.28272,1.38252,0.88626,0.87052,0.91604,0.52003,1.49015,1.32057,1.49543,0.000825029,0.000825029,0.000825029
15,39.8711,1.4097,1.26586,1.37251,0.91597,0.89321,0.94571,0.56303,1.40138,1.0639,1.46017,0.000803031,0.000803031,0.000803031
16,42.4953,1.41543,1.19209,1.35749,0.85983,0.89773,0.94417,0.56144,1.40167,1.04608,1.44893,0.000781033,0.000781033,0.000781033
17,45.0005,1.37287,1.18845,1.33653,0.90116,0.90222,0.95192,0.54954,1.43119,1.04097,1.43932,0.000759035,0.000759035,0.000759035
18,47.5258,1.39672,1.18122,1.34597,0.93651,0.92172,0.96365,0.57773,1.37933,0.96273,1.4301,0.000737037,0.000737037,0.000737037
19,50.0605,1.42326,1.14602,1.32959,0.92763,0.91727,0.95559,0.57632,1.37474,0.96421,1.4054,0.00071504,0.00071504,0.00071504
20,52.5961,1.37665,1.10177,1.3047,0.94855,0.90917,0.96142,0.54887,1.41889,0.94191,1.43175,0.000693042,0.000693042,0.000693042
21,55.1505,1.3423,1.07438,1.27722,0.9743,0.90612,0.97071,0.58467,1.37766,0.87798,1.41835,0.000671044,0.000671044,0.000671044
22,57.6759,1.3402,1.11418,1.33737,0.95112,0.9042,0.96026,0.5646,1.39135,0.88505,1.42648,0.000649046,0.000649046,0.000649046
23,60.2022,1.34119,1.08616,1.30858,0.98169,0.9085,0.96441,0.5784,1.36838,0.83345,1.40411,0.000627048,0.000627048,0.000627048
24,62.7244,1.30361,1.0185,1.26348,0.94485,0.88539,0.95362,0.55181,1.43529,0.84964,1.43413,0.000605051,0.000605051,0.000605051
